,Rooms,Distance,Postcode,Bathroom,Car,Landsize,Lattitude,Longtitude,Propertycount,Type_h,Type_t,Type_u,Method_PI,Method_S,Method_SA,Method_SP,Method_VB,Regionname_Eastern Metropolitan,Regionname_Northern Metropolitan,Regionname_Northern Victoria,Regionname_South-Eastern Metropolitan,Regionname_Southern Metropolitan,Regionname_Western Metropolitan,Price
0,2,2.5,3067.0,1.0,1.0,202.0,-37.7996,144.9984,4019.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,1480000.0
1,2,2.5,3067.0,1.0,0.0,156.0,-37.8079,144.9934,4019.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,1035000.0
2,3,2.5,3067.0,2.0,0.0,134.0,-37.8093,144.9944,4019.0,True,False,False,False,False,False,True,False,False,True,False,False,False,False,1465000.0
3,3,2.5,3067.0,2.0,1.0,94.0,-37.7969,144.9969,4019.0,True,False,False,True,False,False,False,False,False,True,False,False,False,False,850000.0
4,4,2.5,3067.0,1.0,2.0,120.0,-37.8072,144.9941,4019.0,True,False,False,False,False,False,False,True,False,True,False,False,False,False,1600000.0
5,2,2.5,3067.0,1.0,0.0,181.0,-37.8041,144.9953,4019.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,941000.0
6,3,2.5,3067.0,2.0,0.0,245.0,-37.8024,144.9993,4019.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,1876000.0
7,2,2.5,3067.0,1.0,2.0,256.0,-37.806,144.9954,4019.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,1636000.0
8,1,2.5,3067.0,1.0,1.0,0.0,-37.8008,144.9973,4019.0,False,False,True,False,True,False,False,False,False,True,False,False,False,False,300000.0
9,2,2.5,3067.0,1.0,2.0,220.0,-37.801,144.9989,4019.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,1097000.0
10,2,2.5,3067.0,2.0,1.0,0.0,-37.811,145.0067,4019.0,False,False,True,False,False,False,False,True,False,True,False,False,False,False,700000.0
11,3,2.5,3067.0,2.0,2.0,214.0,-37.8085,144.9964,4019.0,True,False,False,False,False,False,False,True,False,True,False,False,False,False,1350000.0
12,2,2.5,3067.0,2.0,1.0,0.0,-37.8078,144.9965,4019.0,False,False,True,False,True,False,False,False,False,True,False,False,False,False,750000.0
13,2,2.5,3067.0,1.0,1.0,195.0,-37.8084,144.9973,4019.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,1172500.0
14,1,2.5,3067.0,1.0,1.0,0.0,-37.8016,144.9988,4019.0,False,False,True,False,False,False,True,False,False,True,False,False,False,False,441000.0
15,2,2.5,3067.0,1.0,2.0,238.0,-37.809,144.9976,4019.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,1310000.0
16,3,2.5,3067.0,2.0,1.0,113.0,-37.8056,144.993,4019.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,1200000.0
17,3,2.5,3067.0,1.0,1.0,138.0,-37.8021,144.9965,4019.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,1176500.0
18,3,2.5,3067.0,1.0,0.0,183.0,-37.8022,144.9975,4019.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,955000.0
19,2,2.5,3067.0,1.0,1.0,150.0,-37.8011,145.0004,4019.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,890000.0
20,4,2.5,3067.0,2.0,2.0,780.0,-37.8073,144.9952,4019.0,True,False,False,True,False,False,False,False,False,True,False,False,False,False,1330000.0
21,3,2.5,3067.0,2.0,2.0,0.0,-37.8093,144.9959,4019.0,False,True,False,False,True,False,False,False,False,True,False,False,False,False,900000.0
23,2,2.5,3067.0,1.0,1.0,0.0,-37.8015,144.9972,4019.0,False,False,True,False,True,False,False,False,False,True,False,False,False,False,500000.0
24,2,2.5,3067.0,2.0,1.0,124.0,-37.8079,144.9977,4019.0,True,False,False,True,False,False,False,False,False,True,False,False,False,False,1100000.0
25,2,2.5,3067.0,1.0,0.0,147.0,-37.808,144.994,4019.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,1315000.0
26,1,2.5,3067.0,1.0,1.0,0.0,-37.8016,144.9988,4019.0,False,False,True,False,False,False,True,False,False,True,False,False,False,False,426000.0
27,3,2.5,3067.0,3.0,1.0,166.0,-37.8017,145.0001,4019.0,True,False,False,True,False,False,False,False,False,True,False,False,False,False,1447500.0
28,1,2.5,3067.0,1.0,1.0,0.0,-37.8078,144.9965,4019.0,False,False,True,False,True,False,False,False,False,True,False,False,False,False,457000.0
29,2,2.5,3067.0,2.0,2.0,98.0,-37.8005,144.9952,4019.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,1135000.0
30,4,2.5,3067.0,3.0,1.0,0.0,-37.7994,144.9965,4019.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,1542000.0
31,3,2.5,3067.0,2.0,2.0,147.0,-37.805,144.9943,4019.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,1290000.0
32,3,2.5,3067.0,1.0,1.0,168.0,-37.8007,144.9958,4019.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,1290000.0
33,1,2.5,3067.0,1.0,1.0,0.0,-37.8055,144.9961,4019.0,False,False,True,False,True,False,False,False,False,True,False,False,False,False,470000.0
34,2,2.5,3067.0,1.0,0.0,162.0,-37.8016,144.9956,4019.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,1180000.0
35,3,2.5,3067.0,2.0,1.0,120.0,-37.8022,144.9954,4019.0,True,False,False,False,False,False,True,False,False,True,False,False,False,False,1195000.0
36,2,2.5,3067.0,1.0,0.0,182.0,-37.8021,144.9976,4019.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,1012500.0
37,2,2.5,3067.0,1.0,1.0,172.0,-37.8086,144.9946,4019.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,1030000.0
38,3,13.5,3042.0,2.0,1.0,303.0,-37.718,144.878,3464.0,False,True,False,True,False,False,False,False,False,False,False,False,False,True,840000.0
39,3,13.5,3042.0,2.0,1.0,0.0,-37.7203,144.8755,3464.0,True,False,False,False,False,False,False,True,False,False,False,False,False,True,730000.0
40,3,13.5,3042.0,2.0,1.0,0.0,-37.7203,144.8755,3464.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,770000.0
41,2,13.5,3042.0,1.0,1.0,272.0,-37.7294,144.888,3464.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,603000.0
42,3,13.5,3042.0,2.0,2.0,239.0,-37.7218,144.8837,3464.0,False,True,False,False,True,False,False,False,False,False,False,False,False,True,700000.0
43,3,13.5,3042.0,1.0,1.0,290.0,-37.7273,144.8744,3464.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,600000.0
44,2,13.5,3042.0,1.0,1.0,168.0,-37.7215,144.8864,3464.0,False,False,True,False,False,False,False,True,False,False,False,False,False,True,500000.0
45,3,13.5,3042.0,1.0,1.0,620.0,-37.7173,144.8872,3464.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,720000.0
46,4,13.5,3042.0,1.0,2.0,597.0,-37.7259,144.8792,3464.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,785000.0
48,2,13.5,3042.0,1.0,1.0,110.0,-37.7216,144.871,3464.0,False,True,False,False,True,False,False,False,False,False,False,False,False,True,450000.0
49,2,13.5,3042.0,1.0,1.0,141.0,-37.7298,144.8883,3464.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True,515000.0
50,2,13.5,3042.0,1.0,1.0,120.0,-37.7234,144.8792,3464.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True,530000.0
52,3,13.5,3042.0,1.0,1.0,0.0,-37.7217,144.8783,3464.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,805000.0
53,3,13.5,3042.0,1.0,1.0,265.0,-37.7302,144.8855,3464.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True,752000.0
54,2,13.5,3042.0,1.0,1.0,192.0,-37.7177,144.8787,3464.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True,440000.0
56,3,13.5,3042.0,2.0,2.0,165.0,-37.727,144.887,3464.0,False,True,False,True,False,False,False,False,False,False,False,False,False,True,700000.0
57,3,13.5,3042.0,1.0,2.0,971.0,-37.7186,144.876,3464.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,830000.0
58,2,13.5,3042.0,1.0,1.0,164.0,-37.7218,144.8863,3464.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True,462500.0
59,3,13.5,3042.0,2.0,2.0,657.0,-37.7269,144.8742,3464.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,670000.0
60,2,13.5,3042.0,1.0,1.0,612.0,-37.7187,144.8765,3464.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,675000.0
62,3,13.5,3042.0,1.0,1.0,775.0,-37.7231,144.8835,3464.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,910000.0
64,3,13.5,3042.0,3.0,2.0,555.0,-37.7285,144.8694,3464.0,True,False,False,True,False,False,False,False,False,False,False,False,False,True,810000.0
65,3,13.5,3042.0,2.0,2.0,422.0,-37.7164,144.8792,3464.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,715000.0
66,3,13.5,3042.0,1.0,3.0,614.0,-37.7194,144.8827,3464.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,790000.0
67,3,13.5,3042.0,2.0,1.0,161.0,-37.7231,144.8802,3464.0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,540000.0
68,3,13.5,3042.0,2.0,1.0,293.0,-37.72,144.8776,3464.0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,825000.0
69,3,13.5,3042.0,1.0,1.0,579.0,-37.7226,144.8733,3464.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,685000.0
70,3,13.5,3042.0,1.0,1.0,623.0,-37.7184,144.882,3464.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,805000.0
71,2,13.5,3042.0,1.0,1.0,141.0,-37.7202,144.8797,3464.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True,510000.0
72,3,13.5,3042.0,2.0,1.0,212.0,-37.7181,144.8824,3464.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,612000.0
73,3,13.5,3042.0,1.0,2.0,612.0,-37.7169,144.8815,3464.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,662000.0
74,4,13.5,3042.0,3.0,2.0,532.0,-37.7263,144.869,3464.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,978000.0
75,3,13.5,3042.0,1.0,1.0,585.0,-37.72,144.878,3464.0,True,False,False,True,False,False,False,False,False,False,False,False,False,True,720000.0
76,4,13.5,3042.0,1.0,2.0,509.0,-37.7261,144.8785,3464.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,765000.0
77,4,13.5,3042.0,2.0,3.0,628.0,-37.7256,144.8739,3464.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,900000.0
78,2,3.3,3206.0,1.0,0.0,120.0,-37.8459,144.9555,3280.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,1275000.0
79,2,3.3,3206.0,1.0,0.0,159.0,-37.845,144.9538,3280.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,1455000.0
80,3,3.3,3206.0,2.0,0.0,211.0,-37.8481,144.9499,3280.0,True,False,False,True,False,False,False,False,False,False,False,False,True,False,2850000.0
81,3,3.3,3206.0,2.0,0.0,128.0,-37.8452,144.9488,3280.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,1850000.0
82,2,3.3,3206.0,1.0,0.0,130.0,-37.8431,144.9565,3280.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,1436000.0
83,2,3.3,3206.0,1.0,0.0,147.0,-37.8444,144.9484,3280.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,1110000.0
84,2,3.3,3206.0,1.0,1.0,167.0,-37.8405,144.9521,3280.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,1550000.0
85,4,3.3,3206.0,2.0,1.0,153.0,-37.8447,144.9523,3280.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,2300000.0
86,3,3.3,3206.0,2.0,2.0,718.0,-37.8443,144.9598,3280.0,False,True,False,False,False,False,False,True,False,False,False,False,True,False,1550000.0
87,3,3.3,3206.0,2.0,1.0,132.0,-37.8415,144.952,3280.0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,1800000.0
88,2,3.3,3206.0,1.0,1.0,199.0,-37.8422,144.9554,3280.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,2120000.0
89,3,3.3,3206.0,1.0,1.0,253.0,-37.8443,144.9579,3280.0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,1800000.0
90,3,3.3,3206.0,2.0,1.0,90.0,-37.8421,144.9571,3280.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,1800000.0
